% f evaluations | g evaluations | best noise-free fitness - Fopt (-5.465000000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
14 0 +4.870914904e+02 +3.421314904e+02 +3.421314904e+02 +2.4184e-01 +1.3858e-01 +3.9955e-02 -4.1154e-01 -8.0738e-01
16 0 +4.783658327e+02 +3.334058327e+02 +3.334058327e+02 +2.5998e-01 +1.3201e-01 +2.7606e-02 -4.1204e-01 -8.0738e-01
18 0 +4.409503670e+02 +2.959903670e+02 +2.959903670e+02 +2.6460e-01 +1.3731e-01 +2.9589e-02 -4.1935e-01 -8.1985e-01
19 0 +3.386368769e+02 +1.936768769e+02 +1.936768769e+02 +2.6218e-01 +1.3426e-01 +1.9381e-02 -4.4561e-01 -8.4797e-01
20 0 +2.072289260e+02 +6.226892600e+01 +6.226892600e+01 +2.4914e-01 +1.1873e-01 -5.6299e-03 -4.8868e-01 -8.8612e-01
21 0 +1.702763099e+02 +2.531630993e+01 +2.531630993e+01 +2.5373e-01 +1.2233e-01 -6.2315e-03 -4.9937e-01 -9.0533e-01
22 0 +1.552318653e+02 +1.027186531e+01 +1.027186531e+01 +2.5135e-01 +1.1904e-01 -1.0689e-02 -5.0543e-01 -9.1103e-01
26 0 +1.512825171e+02 +6.322517071e+00 +6.322517071e+00 +2.5747e-01 +1.2154e-01 -2.4390e-02 -5.0689e-01 -9.0915e-01
% f evaluations | g evaluations | best noise-free fitness - Fopt (-6.300000000000e+00) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +6.592654473e+03 +6.586354473e+03 +6.586354473e+03 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
6 0 +6.074404221e+03 +6.068104221e+03 +6.068104221e+03 +0.0000e+00 +0.0000e+00 +0.0000e+00 +1.0000e-01 +0.0000e+00
8 0 +5.075020045e+03 +5.068720045e+03 +5.068720045e+03 -1.0281e-05 -2.8376e-04 -9.1124e-03 +1.4659e-01 -8.8010e-02
9 0 +1.976669905e+03 +1.970369905e+03 +1.970369905e+03 -5.2691e-05 -1.4543e-03 -4.6701e-02 +3.1025e-01 -4.5106e-01
10 0 +9.726210709e+02 +9.663210709e+02 +9.663210709e+02 -8.1054e-05 -2.2371e-03 -7.1840e-02 +4.8807e-01 -5.7998e-01
11 0 +7.506832834e+02 +7.443832834e+02 +7.443832834e+02 -9.3490e-05 -2.5804e-03 -8.2863e-02 +5.8803e-01 -5.9988e-01
12 0 +5.042210963e+02 +4.979210963e+02 +4.979210963e+02 -1.0309e-04 -2.8454e-03 -9.1372e-02 +5.9008e-01 -6.7845e-01
13 0 +3.862075658e+02 +3.799075658e+02 +3.799075658e+02 -1.1315e-04 -3.1232e-03 -1.0029e-01 +6.5071e-01 -7.0350e-01
17 0 +3.581730347e+02 +3.518730347e+02 +3.518730347e+02 -1.2258e-02 -1.1224e-03 -9.6362e-02 +6.5331e-01 -7.1433e-01
18 0 +2.671818024e+02 +2.608818024e+02 +2.608818024e+02 -1.2285e-02 -1.0808e-03 -9.6693e-02 +6.6848e-01 -7.5135e-01
19 0 +8.730183331e+01 +8.100183331e+01 +8.100183331e+01 -1.2883e-02 -1.4485e-03 -9.6444e-02 +7.1995e-01 -8.4982e-01
20 0 +5.030904566e+01 +4.400904566e+01 +4.400904566e+01 -1.3724e-02 -2.1601e-03 -9.4945e-02 +7.4919e-01 -8.7899e-01
21 0 +3.589736842e+01 +2.959736842e+01 +2.959736842e+01 -1.4398e-02 -2.7476e-03 -9.3641e-02 +7.6867e-01 -8.9238e-01
22 0 +2.854505219e+01 +2.224505219e+01 +2.224505219e+01 -1.4940e-02 -3.2267e-03 -9.2555e-02 +7.8302e-01 -8.9977e-01
